num	lesson	student	skill	cell	right	eol
75	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
76	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
77	Splot	HJUGFBC	VALUING-CAT-FEATURES	cell	1	eol
78	Splot	JOWJBFB	VALUING-CAT-FEATURES	cell	0	eol
79	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
80	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
81	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
82	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
83	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
84	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
85	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
86	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
87	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	1	eol
88	Splot	KAEKLAE	VALUING-CAT-FEATURES	cell	0	eol
89	Splot	KCFBBBE	VALUING-CAT-FEATURES	cell	1	eol
90	Splot	KCFBBBE	VALUING-CAT-FEATURES	cell	0	eol
91	Splot	KCFBBBE	VALUING-CAT-FEATURES	cell	1	eol
92	Splot	KCFBBBE	VALUING-CAT-FEATURES	cell	1	eol
93	Splot	KCFBBBE	VALUING-CAT-FEATURES	cell	0	eol
94	Splot	KMSAFGA	VALUING-CAT-FEATURES	cell	1	eol
95	Splot	KMSAFGA	VALUING-CAT-FEATURES	cell	0	eol
96	Splot	KMSAFGA	VALUING-CAT-FEATURES	cell	1	eol
97	Splot	KMSAFGA	VALUING-CAT-FEATURES	cell	0	eol
98	Splot	KMSAFGA	VALUING-CAT-FEATURES	cell	1	eol
99	Splot	KMSAFGA	VALUING-CAT-FEATURES	cell	1	eol
100	Splot	KMSAFGA	VALUING-CAT-FEATURES	cell	0	eol
101	Splot	LDNEIAC	VALUING-CAT-FEATURES	cell	0	eol
102	Splot	LDNEIAC	VALUING-CAT-FEATURES	cell	1	eol
103	Splot	LDNEIAC	VALUING-CAT-FEATURES	cell	1	eol
104	Splot	LDNEIAC	VALUING-CAT-FEATURES	cell	1	eol
105	Splot	MLUBAGA	VALUING-CAT-FEATURES	cell	1	eol
106	Splot	MLUBAGA	VALUING-CAT-FEATURES	cell	0	eol
107	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	1	eol
108	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	1	eol
109	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	0	eol
110	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	1	eol
111	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	1	eol
112	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	0	eol
113	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	1	eol
114	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	1	eol
115	Splot	NFQDBFB	VALUING-CAT-FEATURES	cell	1	eol
116	Splot	NLAABCB	VALUING-CAT-FEATURES	cell	1	eol
117	Splot	NLAABCB	VALUING-CAT-FEATURES	cell	0	eol
118	Splot	NLAABCB	VALUING-CAT-FEATURES	cell	1	eol
119	Splot	NLAABCB	VALUING-CAT-FEATURES	cell	1	eol
120	Splot	NLAABCB	VALUING-CAT-FEATURES	cell	0	eol
121	Splot	NLAABCB	VALUING-CAT-FEATURES	cell	0	eol
122	Splot	NLAABCB	VALUING-CAT-FEATURES	cell	0	eol
123	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
124	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	0	eol
125	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	0	eol
126	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
127	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
128	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
129	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
130	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
131	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
132	Splot	OBIJCAC	VALUING-CAT-FEATURES	cell	1	eol
133	Splot	OMUHKGA	VALUING-CAT-FEATURES	cell	1	eol
134	Splot	OMUHKGA	VALUING-CAT-FEATURES	cell	0	eol
135	Splot	OMUHKGA	VALUING-CAT-FEATURES	cell	0	eol
136	Splot	OMUHKGA	VALUING-CAT-FEATURES	cell	0	eol
137	Splot	PGNELAD	VALUING-CAT-FEATURES	cell	1	eol
138	Splot	PGNELAD	VALUING-CAT-FEATURES	cell	1	eol
139	Splot	PGNELAD	VALUING-CAT-FEATURES	cell	0	eol
140	Splot	PGNELAD	VALUING-CAT-FEATURES	cell	1	eol
141	Splot	PGNELAD	VALUING-CAT-FEATURES	cell	0	eol
142	Splot	PGNELAD	VALUING-CAT-FEATURES	cell	0	eol
143	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
144	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
145	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
146	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
147	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
148	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
149	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
150	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
151	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	1	eol
152	Splot	QAICBFB	VALUING-CAT-FEATURES	cell	0	eol
153	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	1	eol
154	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	0	eol
155	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	0	eol
156	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	1	eol
157	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	1	eol
158	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	1	eol
159	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	1	eol
160	Splot	QKDKIBC	VALUING-CAT-FEATURES	cell	1	eol
161	Splot	ACEECDB	VALUING-CAT-FEATURES	cell	1	eol
162	Splot	ACEECDB	VALUING-CAT-FEATURES	cell	0	eol
163	Splot	ACEECDB	VALUING-CAT-FEATURES	cell	0	eol
164	Splot	ACEECDB	VALUING-CAT-FEATURES	cell	0	eol
165	Splot	ACEECDB	VALUING-CAT-FEATURES	cell	0	eol
166	Splot	BGIDLAE	VALUING-CAT-FEATURES	cell	0	eol
167	Splot	BGIDLAE	VALUING-CAT-FEATURES	cell	1	eol
168	Splot	BGIDLAE	VALUING-CAT-FEATURES	cell	1	eol
169	Splot	BGIDLAE	VALUING-CAT-FEATURES	cell	1	eol
170	Splot	BGIDLAE	VALUING-CAT-FEATURES	cell	1	eol
171	Splot	BGIDLAE	VALUING-CAT-FEATURES	cell	0	eol
172	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	1	eol
173	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	0	eol
174	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	1	eol
175	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	0	eol
176	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	1	eol
177	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	1	eol
178	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	1	eol
179	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	0	eol
180	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	1	eol
181	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	0	eol
182	Splot	BHNAKFA	VALUING-CAT-FEATURES	cell	1	eol
183	Splot	BITBHEE	VALUING-CAT-FEATURES	cell	1	eol
184	Splot	BITBHEE	VALUING-CAT-FEATURES	cell	0	eol
185	Splot	BITBHEE	VALUING-CAT-FEATURES	cell	1	eol
186	Splot	BITBHEE	VALUING-CAT-FEATURES	cell	1	eol
187	Splot	BITBHEE	VALUING-CAT-FEATURES	cell	1	eol
188	Splot	BITBHEE	VALUING-CAT-FEATURES	cell	0	eol
189	Splot	BITBHEE	VALUING-CAT-FEATURES	cell	1	eol
190	Splot	CFFIJCC	VALUING-CAT-FEATURES	cell	1	eol
191	Splot	CFFIJCC	VALUING-CAT-FEATURES	cell	1	eol
192	Splot	CFFIJCC	VALUING-CAT-FEATURES	cell	1	eol
193	Splot	CFFIJCC	VALUING-CAT-FEATURES	cell	0	eol
194	Splot	CFFIJCC	VALUING-CAT-FEATURES	cell	0	eol
195	Splot	CFFIJCC	VALUING-CAT-FEATURES	cell	0	eol
196	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
197	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
198	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
199	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
200	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
201	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
202	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
203	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
204	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
205	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
206	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
207	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
208	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
209	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
210	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
211	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
212	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
213	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
214	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
215	Splot	CISGDDD	VALUING-CAT-FEATURES	cell	1	eol
216	Splot	CPCGFCD	VALUING-CAT-FEATURES	cell	1	eol
217	Splot	CPCGFCD	VALUING-CAT-FEATURES	cell	0	eol
218	Splot	CPCGFCD	VALUING-CAT-FEATURES	cell	0	eol
219	Splot	CPCGFCD	VALUING-CAT-FEATURES	cell	0	eol
220	Splot	CPCGFCD	VALUING-CAT-FEATURES	cell	0	eol
221	Splot	DNABMDE	VALUING-CAT-FEATURES	cell	0	eol
222	Splot	DNABMDE	VALUING-CAT-FEATURES	cell	1	eol
223	Splot	DNABMDE	VALUING-CAT-FEATURES	cell	0	eol
224	Splot	DNABMDE	VALUING-CAT-FEATURES	cell	0	eol
225	Splot	FIQKJGE	VALUING-CAT-FEATURES	cell	1	eol
226	Splot	FIQKJGE	VALUING-CAT-FEATURES	cell	0	eol
227	Splot	FIQKJGE	VALUING-CAT-FEATURES	cell	1	eol
228	Splot	FIQKJGE	VALUING-CAT-FEATURES	cell	1	eol
229	Splot	FIQKJGE	VALUING-CAT-FEATURES	cell	1	eol
230	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
231	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
232	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
233	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
234	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
235	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
236	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	0	eol
237	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
238	Splot	HBGFBEE	VALUING-CAT-FEATURES	cell	1	eol
239	Splot	HCIFMBA	VALUING-CAT-FEATURES	cell	1	eol
240	Splot	HCIFMBA	VALUING-CAT-FEATURES	cell	0	eol
241	Splot	HCIFMBA	VALUING-CAT-FEATURES	cell	0	eol
242	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	1	eol
243	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	1	eol
244	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	1	eol
245	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	1	eol
246	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	1	eol
247	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	1	eol
248	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	0	eol
249	Splot	HFFBGFE	VALUING-CAT-FEATURES	cell	0	eol
250	Splot	JEAAIAC	VALUING-CAT-FEATURES	cell	0	eol
251	Splot	JEAAIAC	VALUING-CAT-FEATURES	cell	0	eol
252	Splot	JEAAIAC	VALUING-CAT-FEATURES	cell	0	eol
253	Splot	JEAAIAC	VALUING-CAT-FEATURES	cell	0	eol
254	Splot	JFBDCBB	VALUING-CAT-FEATURES	cell	1	eol
255	Splot	JFBDCBB	VALUING-CAT-FEATURES	cell	0	eol
256	Splot	JFBDCBB	VALUING-CAT-FEATURES	cell	1	eol
257	Splot	JFBDCBB	VALUING-CAT-FEATURES	cell	0	eol
258	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
259	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	0	eol
260	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
261	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
262	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
263	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
264	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
265	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
266	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
267	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
268	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
269	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
270	Splot	KEUECCB	VALUING-CAT-FEATURES	cell	1	eol
271	Splot	LIDEADE	VALUING-CAT-FEATURES	cell	0	eol
272	Splot	LIDEADE	VALUING-CAT-FEATURES	cell	1	eol
273	Splot	LIDEADE	VALUING-CAT-FEATURES	cell	0	eol
274	Splot	LIDEADE	VALUING-CAT-FEATURES	cell	0	eol
275	Splot	LIDEADE	VALUING-CAT-FEATURES	cell	0	eol
276	Splot	LIDEADE	VALUING-CAT-FEATURES	cell	1	eol
277	Splot	MJNIJGC	VALUING-CAT-FEATURES	cell	0	eol
278	Splot	MJNIJGC	VALUING-CAT-FEATURES	cell	1	eol
279	Splot	MJNIJGC	VALUING-CAT-FEATURES	cell	0	eol
280	Splot	MJNIJGC	VALUING-CAT-FEATURES	cell	0	eol
281	Splot	MJNIJGC	VALUING-CAT-FEATURES	cell	0	eol
282	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	1	eol
283	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	1	eol
284	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	1	eol
285	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	1	eol
286	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	1	eol
287	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	1	eol
288	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	0	eol
289	Splot	NGSDMCC	VALUING-CAT-FEATURES	cell	1	eol
290	Splot	NGVAADC	VALUING-CAT-FEATURES	cell	0	eol
291	Splot	NGVAADC	VALUING-CAT-FEATURES	cell	0	eol
292	Splot	NGVAADC	VALUING-CAT-FEATURES	cell	1	eol
293	Splot	NGVAADC	VALUING-CAT-FEATURES	cell	0	eol
294	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	1	eol
295	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	0	eol
296	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	1	eol
297	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	0	eol
298	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	1	eol
299	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	1	eol
300	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	1	eol
301	Splot	NKRKEDC	VALUING-CAT-FEATURES	cell	0	eol
302	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
303	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	0	eol
304	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
305	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
306	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	0	eol
307	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
308	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
309	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
310	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
311	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
312	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
313	Splot	OFTJJGD	VALUING-CAT-FEATURES	cell	1	eol
314	Splot	OGWJMCD	VALUING-CAT-FEATURES	cell	1	eol
315	Splot	OGWJMCD	VALUING-CAT-FEATURES	cell	0	eol
316	Splot	OGWJMCD	VALUING-CAT-FEATURES	cell	1	eol
317	Splot	OGWJMCD	VALUING-CAT-FEATURES	cell	0	eol
318	Splot	OGWJMCD	VALUING-CAT-FEATURES	cell	1	eol
319	Splot	OJNAEEC	VALUING-CAT-FEATURES	cell	1	eol
320	Splot	OJNAEEC	VALUING-CAT-FEATURES	cell	1	eol
321	Splot	OJNAEEC	VALUING-CAT-FEATURES	cell	1	eol
322	Splot	OJNAEEC	VALUING-CAT-FEATURES	cell	0	eol
323	Splot	OJSJHCC	VALUING-CAT-FEATURES	cell	1	eol
324	Splot	OJSJHCC	VALUING-CAT-FEATURES	cell	0	eol
325	Splot	OJSJHCC	VALUING-CAT-FEATURES	cell	0	eol
326	Splot	OJSJHCC	VALUING-CAT-FEATURES	cell	1	eol
327	Splot	OJSJHCC	VALUING-CAT-FEATURES	cell	0	eol
328	Splot	OJSJHCC	VALUING-CAT-FEATURES	cell	1	eol
329	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	0	eol
330	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	0	eol
331	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	1	eol
332	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	1	eol
333	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	1	eol
334	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	1	eol
335	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	1	eol
336	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	1	eol
337	Splot	PLFBMFB	VALUING-CAT-FEATURES	cell	1	eol
338	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	1	eol
339	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	0	eol
340	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	1	eol
341	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	1	eol
342	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	1	eol
343	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	0	eol
344	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	1	eol
345	Splot	PMHIEAD	VALUING-CAT-FEATURES	cell	1	eol
346	Splot	QKHEAFE	VALUING-CAT-FEATURES	cell	0	eol
347	Splot	QKHEAFE	VALUING-CAT-FEATURES	cell	1	eol
348	Splot	QKHEAFE	VALUING-CAT-FEATURES	cell	0	eol
349	Splot	QKHEAFE	VALUING-CAT-FEATURES	cell	1	eol
350	Splot	QKHEAFE	VALUING-CAT-FEATURES	cell	1	eol
351	Splot	QKHEAFE	VALUING-CAT-FEATURES	cell	1	eol
352	Splot	QKHEAFE	VALUING-CAT-FEATURES	cell	1	eol
353	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
354	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	0	eol
355	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
356	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
357	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
358	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
359	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
360	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
361	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
362	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
363	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	0	eol
364	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
365	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
366	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
367	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
368	Splot	QLLBHEB	VALUING-CAT-FEATURES	cell	1	eol
369	Splot	QOHIJCB	VALUING-CAT-FEATURES	cell	0	eol
370	Splot	QOHIJCB	VALUING-CAT-FEATURES	cell	1	eol
371	Splot	QOHIJCB	VALUING-CAT-FEATURES	cell	1	eol
372	Splot	QOHIJCB	VALUING-CAT-FEATURES	cell	1	eol
373	Splot	QOHIJCB	VALUING-CAT-FEATURES	cell	1	eol
374	Splot	QOHIJCB	VALUING-CAT-FEATURES	cell	0	eol
375	Splot	QQVAFEE	VALUING-CAT-FEATURES	cell	1	eol
376	Splot	QQVAFEE	VALUING-CAT-FEATURES	cell	0	eol
377	Splot	QQVAFEE	VALUING-CAT-FEATURES	cell	0	eol
378	Splot	QQVAFEE	VALUING-CAT-FEATURES	cell	0	eol
379	Splot	QQVAFEE	VALUING-CAT-FEATURES	cell	0	eol
